Age,Gender,Department,Education,YearsAtCompany,JobSatisfaction,MonthlyIncome,Attrition
25,Male,IT,Graduate,1,3,30000,Yes
30,Female,IT,Masters,5,4,50000,No
28,Male,HR,Graduate,2,2,28000,Yes
40,Female,Finance,PhD,10,5,80000,No
35,Male,IT,Graduate,7,3,60000,No
29,Female,IT,Graduate,3,2,35000,Yes
45,Male,Finance,Masters,12,4,90000,No
26,Female,IT,Graduate,1,2,27000,Yes
32,Male,HR,Masters,4,3,40000,Yes
38,Female,Finance,Graduate,8,2,55000,No
27,Male,IT,Graduate,2,1,25000,Yes
41,Female,IT,PhD,15,4,95000,No
33,Male,HR,Graduate,6,2,38000,Yes
36,Female,Finance,Masters,9,3,70000,No
24,Male,IT,Graduate,1,1,22000,Yes
39,Female,IT,Masters,11,2,72000,Yes
44,Male,Finance,PhD,18,5,120000,No
31,Female,HR,Graduate,5,2,36000,Yes
29,Male,IT,Masters,4,3,48000,Yes
42,Female,Finance,Masters,14,4,85000,No
34,Male,IT,Graduate,6,2,42000,Yes
37,Female,HR,Masters,7,3,46000,Yes
43,Male,Finance,Graduate,16,5,100000,No
28,Female,IT,Graduate,2,1,31000,Yes
40,Male,IT,Masters,13,4,87000,No
36,Male,HR,Graduate,8,2,39000,Yes
29,Female,Finance,Graduate,3,3,41000,Yes
48,Male,Finance,Masters,20,4,130000,No
26,Female,IT,Graduate,1,2,28000,Yes
34,Male,IT,Graduate,6,2,47000,Yes
38,Female,HR,Masters,9,3,52000,No
41,Male,Finance,PhD,17,4,110000,No
27,Male,IT,Masters,2,2,36000,Yes
33,Female,IT,Graduate,5,3,45000,Yes
45,Male,Finance,Masters,19,5,125000,No
30,Female,HR,Graduate,4,2,34000,Yes
39,Male,IT,Graduate,10,3,68000,No
35,Female,Finance,Graduate,7,2,56000,Yes
42,Male,IT,PhD,16,4,102000,No
31,Female,HR,Masters,5,3,39000,Yes
28,Male,IT,Graduate,2,2,32000,Yes
47,Female,Finance,PhD,21,5,140000,No
26,Male,IT,Graduate,1,1,26000,Yes
37,Female,IT,Masters,8,3,54000,Yes
44,Male,HR,Graduate,18,4,95000,No
29,Female,Finance,Masters,3,2,37000,Yes
41,Male,IT,Graduate,15,4,92000,No
34,Female,HR,Graduate,6,2,43000,Yes
30,Male,Finance,Masters,4,3,52000,Yes
46,Female,Finance,PhD,20,5,135000,No
27,Male,IT,Graduate,2,1,31000,Yes
36,Female,IT,Masters,9,3,60000,Yes
43,Male,Finance,Graduate,17,4,112000,No
25,Female,HR,Graduate,1,2,29000,Yes
39,Male,IT,Masters,12,4,78000,No
32,Female,Finance,Graduate,5,3,48000,Yes
28,Male,HR,Graduate,2,2,35000,Yes
48,Female,Finance,Masters,22,5,145000,No
31,Male,IT,Graduate,4,2,40000,Yes
